subject,awareness,variance_mean,peak_to_peak_mean
10,Unseen,9.397143499169349e-11,4.501026973074463e-05
10,Seen,3.664019753704005e-11,2.959697923467158e-05
10,Seen,3.947982796925268e-11,2.9894418506613186e-05
10,Unseen,3.56280603890713e-11,2.969235669750667e-05
10,Seen,1.5335760929417465e-10,5.916159515955504e-05
10,Unseen,5.495582832656784e-11,3.44331227319073e-05
10,Seen,7.169253068422492e-11,3.949475495638446e-05
10,Seen,5.253460761191922e-11,3.510169820467333e-05
10,Seen,2.962999182056998e-11,2.646172662492873e-05
10,Seen,3.9534281778162944e-11,2.972501993710794e-05
10,Seen,3.707265234839195e-11,3.0202351039421564e-05
10,Seen,3.352003051695225e-11,2.83009409560635e-05
10,Unseen,3.289423707885894e-11,2.7425712499025602e-05
10,Unseen,4.3364381981528794e-11,3.186746387304459e-05
10,Unseen,3.1409508435627695e-11,2.671905522861167e-05
10,Unseen,4.571498255761567e-11,3.349148366561111e-05
10,Unseen,3.4408896857895157e-11,2.9583211003862143e-05
10,Unseen,3.154148615611372e-11,2.7549905573058842e-05
10,Seen,6.028422815684415e-11,3.6427195213564784e-05
10,Seen,7.001411161292141e-11,3.8622719642404184e-05
10,Seen,5.1408991402482885e-11,3.578385776317493e-05
10,Unseen,5.0633472733644837e-11,3.396641984336906e-05
10,Unseen,2.8686277586802537e-11,2.5543935093131022e-05
10,Unseen,3.614731600966912e-11,2.8256093852569083e-05
10,Seen,4.3619107065293575e-11,2.8059134435230167e-05
10,Seen,4.475810695325552e-11,3.165955084880752e-05
10,Seen,5.886497645241821e-11,3.4982851274249535e-05
10,Seen,4.5761149530887835e-11,3.220477816745931e-05
10,Seen,4.6577837863661624e-11,3.285850507811156e-05
10,Seen,3.1033144681310614e-11,2.6670996059661306e-05
10,Unseen,7.606685248237522e-11,3.875176423245086e-05
10,Seen,4.98608119222426e-11,3.542668223052098e-05
10,Seen,4.035602989707495e-11,3.167216055230259e-05
10,Seen,4.348615681413204e-11,3.270637683400772e-05
10,Seen,6.104276957739974e-11,3.658495282636218e-05
10,Seen,6.847023200091996e-11,3.877172037299599e-05
10,Seen,5.508833890607444e-11,3.3610022382529876e-05
10,Seen,4.188689417231894e-11,3.042161256485725e-05
10,Seen,4.3208676294702574e-11,2.9289579552044888e-05
10,Unseen,4.1009283971379844e-11,3.1062636505630234e-05
10,Unseen,4.2990310534964685e-11,3.2684933783080055e-05
10,Seen,4.5402413487256475e-11,3.219080729741908e-05
10,Seen,3.455382052302768e-11,2.7413493703237116e-05
10,Seen,3.469681316921558e-11,2.8938679716428816e-05
10,Seen,3.953082551110881e-11,3.208792646862287e-05
10,Unseen,3.430871757971592e-11,2.8790557073561624e-05
10,Seen,3.2842938986631886e-11,2.7615060169773327e-05
10,Seen,5.647618931245136e-11,3.388584616666082e-05
10,Seen,3.708313383300995e-11,2.946712953837912e-05
10,Unseen,4.5990701832839463e-11,3.1728118431691854e-05
10,Seen,9.408607189445285e-11,4.648882822042082e-05
10,Unseen,2.6481504657486143e-11,2.5501857564482048e-05
10,Seen,3.5257830474507296e-11,2.8997130485684856e-05
10,Seen,4.4968238159735463e-11,3.33806753291759e-05
10,Seen,3.144572495500066e-11,2.7504012296939213e-05
10,Unseen,3.05017702624416e-11,2.852477198727148e-05
10,Seen,7.705081806524763e-11,4.095252270453207e-05
10,Unseen,3.61136065247543e-11,3.081301848268816e-05
10,Seen,5.836371879090137e-11,3.4085382380896535e-05
10,Seen,5.688752015803134e-11,3.377955823999221e-05
10,Seen,3.2174665916173564e-11,2.8087425048026192e-05
10,Seen,5.181035621987029e-11,3.5047916611945604e-05
10,Unseen,2.877000309246599e-11,2.4182281414974274e-05
10,Unseen,2.8560110990002474e-11,2.430898889426875e-05
10,Seen,4.450680078112687e-11,3.1840760576775165e-05
10,Seen,2.1162930691680802e-11,2.0849169088556558e-05
10,Seen,4.033124656605403e-11,2.731232565210106e-05
10,Unseen,3.343919187779782e-11,2.837896693152568e-05
10,Seen,3.8393966206368035e-11,2.751281300723459e-05
10,Seen,2.3610454872799665e-11,2.1452344221797222e-05
10,Seen,3.771545901101482e-11,2.6313390328707975e-05
10,Seen,2.9946178892804425e-11,2.321577637598517e-05
10,Seen,2.5242505969513522e-11,2.3856097844644533e-05
10,Unseen,4.5182677490109024e-11,3.2889232474072154e-05
10,Seen,4.555026469835026e-11,3.2672169674684034e-05
10,Seen,4.532611262639133e-11,3.2720073033585796e-05
10,Seen,4.314628632352346e-11,3.1708409596909045e-05
10,Seen,4.9666449422660555e-11,3.372645141109128e-05
10,Seen,3.589925437134063e-11,2.9617454264754222e-05
10,Unseen,3.284618569890287e-11,2.804118383392664e-05
10,Seen,4.0782353385847374e-11,2.9668385789003267e-05
10,Seen,3.16733580836843e-11,2.691428859781961e-05
