subject,trial_index,awareness,perm_entropy,lz_complexity,variance
10,484,Seen,0.9829276539156554,0.9245505739904136,3.254811749299782e-10
10,486,Unseen,0.9829091053559628,1.0229738514027567,3.312579612678233e-10
10,487,Unseen,0.9812496440357571,0.9978445039783287,3.6113311455404195e-10
10,490,Seen,0.984828226637259,0.9988915601210132,5.673295742863374e-10
10,491,Seen,0.9782916875582849,0.8208920158646481,3.267183231611405e-10
10,492,Seen,0.9714355867623472,0.896280058137932,3.623120418954174e-10
10,493,Unseen,0.976299946277512,0.8837153844257182,2.389787532035636e-11
10,495,Seen,0.9798076094088873,0.9371152477026278,2.3591297136139613e-11
10,496,Seen,0.9766955708851774,0.9266446862757827,3.208739521253137e-10
10,499,Seen,0.9803541724177544,0.9245505739904136,2.8022621202328244e-11
10,500,Unseen,0.9808042589436106,0.8564919247159212,7.780897299683014e-11
10,502,Unseen,0.9825299202292201,0.910938844135515,4.0039653413661437e-10
10,503,Seen,0.982300040468021,1.0365855812576552,2.8494507696516524e-11
10,504,Seen,0.9874742745100923,0.9570093144136331,3.279981410942198e-11
10,505,Seen,0.9874061405501674,0.96329165126974,2.8514684104683416e-11
10,506,Seen,0.9881400430940174,1.0114562338332271,2.8354157963400334e-11
10,509,Seen,0.9867981611389248,1.0030797846917512,3.6626936412960497e-10
10,511,Seen,0.982638867301156,0.9978445039783286,2.968730481051408e-11
10,512,Unseen,0.9712758211205199,0.7800568262999528,2.847953601061972e-10
10,514,Seen,0.9775316743780482,0.804139117581696,3.137251143831072e-10
10,515,Seen,0.9878144386573913,0.9967974478356441,3.07566148021097e-11
10,516,Seen,0.9799861504023643,0.9507269775575261,2.600144996802983e-10
10,518,Unseen,0.9862415996701428,1.0104091776905426,2.6678508114131518e-11
10,519,Seen,0.9878030067245012,0.9570093144136331,3.21913607667724e-11
10,521,Seen,0.9711954903114418,0.8282214088634396,2.9685289081404117e-10
10,523,Seen,0.980569532269849,0.9036094511367236,2.806337124909952e-10
10,524,Seen,0.9701463345555836,0.8198449597219636,2.74220981174526e-10
10,526,Seen,0.9811254104606004,0.9360681915599433,3.2058751407821766e-10
10,527,Seen,0.9836677428502733,0.9789974934100077,1.5405027600979313e-10
10,528,Unseen,0.9870712620125113,1.0041268408344357,4.452788223371324e-10
10,529,Seen,0.9847018761747681,0.9873739425514837,2.8025083765896297e-10
10,531,Seen,0.9836911551180633,0.9266446862757827,8.814089969767121e-11
10,532,Seen,0.9815786439501125,0.9413034722733656,3.815338292851966e-11
10,534,Unseen,0.9861099077469133,0.9821386618380612,4.2103692978567047e-10
10,537,Unseen,0.982344475279857,0.954915202128264,4.5834142052630313e-10
10,538,Seen,0.979429278053213,0.9015153388513547,4.254971987960457e-10
10,539,Seen,0.9840977034381916,1.0125032899759117,3.232893133675393e-11
10,540,Unseen,0.988015225510284,1.0376326374003397,8.698136881704865e-10
10,541,Seen,0.9856414892499683,0.9831857179807457,2.5102820379608393e-10
10,542,Seen,0.9850100843142044,0.9926092232649062,3.418841036332965e-11
10,545,Seen,0.9837852370636986,1.0460090865418157,2.6873685250479117e-10
10,546,Seen,0.9781884926674477,0.856491924715921,4.027108479128732e-10
10,547,Unseen,0.982918165405557,0.9779504372673232,2.924174168067363e-11
