subject,block,awareness,perm_entropy,lz_complexity
10,experimental,Seen,0.9751603469381964,0.9071982524329711
10,experimental,Seen,0.9825565630320893,1.034569926843331
10,experimental,Unseen,0.9806681191899644,0.9799820663817483
10,experimental,Unseen,0.9789180524072442,1.043667903586928
10,experimental,Unseen,0.9710179501276659,0.9292933388102788
10,experimental,Seen,0.9827414128940684,0.9292933388102785
10,experimental,Seen,0.9629028541630071,0.8838034550922929
10,experimental,Seen,0.9700754534412868,0.8552098138981304
10,experimental,Seen,0.9700520680831097,0.9955785979422004
10,experimental,Seen,0.9791911208226691,0.9162962291765685
10,experimental,Seen,0.9777773875857547,1.018973395282879
10,experimental,Unseen,0.9692807606771642,0.8097199301801448
10,experimental,Seen,0.9750211560816473,0.8916017208725189
10,experimental,Seen,0.9769717363570187,0.9500887142242148
10,experimental,Seen,0.9727076525276412,1.024172239136363
10,experimental,Seen,0.9734182413920643,0.9487890032608439
10,experimental,Seen,0.9800057558653524,0.9890800431253456
10,experimental,Seen,0.9843264096081703,0.9773826444550061
10,experimental,Seen,0.9801530789347325,0.9981780198689426
10,experimental,Seen,0.9792783718759408,0.9994777308323136
10,experimental,Unseen,0.9823971871788649,1.0839589434514298
10,experimental,Unseen,0.9798004288118355,1.038469059733444
10,experimental,Seen,0.9771823826109646,0.9747832225282642
10,experimental,Seen,0.9770931830973484,0.9929791760154586
10,experimental,Seen,0.9838263272282961,1.047567036477041
10,experimental,Seen,0.9780724836326824,1.0631635680374936
10,experimental,Unseen,0.9791847241458256,1.1437456477664967
10,experimental,Seen,0.9792105166887387,0.9994777308323136
10,experimental,Seen,0.9694349097093199,0.8474115481179042
10,experimental,Seen,0.9747034177884023,0.952688136150957
10,experimental,Unseen,0.9758110723376662,0.9097976743597131
10,experimental,Seen,0.976110366021972,0.9032991195428581
10,experimental,Unseen,0.979754946082668,1.1099531627188504
10,experimental,Seen,0.9852061031559717,0.9734835115648932
10,experimental,Seen,0.9713822995429341,0.9890800431253454
10,experimental,Seen,0.9827443666012107,1.0137745514293948
10,experimental,Unseen,0.970652893535538,1.0215728172096208
10,experimental,Seen,0.9747970647366809,0.8942011427992611
10,experimental,Unseen,0.980702218974164,1.03327021587996
10,experimental,Seen,0.9810608334101395,0.9890800431253456
10,experimental,Seen,0.9771322342255102,0.7681291793522722
10,experimental,Seen,0.9839177000785516,1.0475670364770413
10,experimental,Seen,0.9794664656366673,0.9487890032608436
10,experimental,Unseen,0.9596676154323245,0.8292155946307102
10,experimental,Unseen,0.9607882210012642,0.8110196411435159
10,experimental,Seen,0.9563425016554556,0.8383135713743073
10,experimental,Seen,0.9683262018017814,0.8864028770190351
10,experimental,Seen,0.9711181820267459,0.8344144384841944
10,experimental,Unseen,0.9344638476462114,0.8630080796783566
10,experimental,Seen,0.9501078981057433,0.8110196411435161
10,experimental,Seen,0.9644272735369471,0.9123970962864554
10,experimental,Seen,0.9635343898592547,0.9201953620666815
10,experimental,Seen,0.976374301855183,0.882503744128922
10,experimental,Seen,0.9693829373126267,0.895500853762632
10,experimental,Unseen,0.9806321634094678,1.0033768637224267
10,experimental,Seen,0.9829289777204365,1.026771661063105
10,experimental,Seen,0.9805891332317352,1.0202731062462496
10,experimental,Seen,0.9742572637064022,0.9981780198689426
10,experimental,Seen,0.9727511810397894,0.959186690967812
10,experimental,Seen,0.9788451253649227,0.9825814883084905
10,experimental,Unseen,0.9841500158167494,0.9968783089055716
10,experimental,Seen,0.9805139570482457,0.9370916045905047
