subject,trial_index,event_name,awareness,perm_entropy_mean,lz_complexity_mean
10,229,Present/Seen/Left,Seen,0.987040734395778,0.8468173954412181
10,230,Present/Unseen/Left,Unseen,0.9844794307350626,0.8915251461322142
10,232,Present/Unseen/Right,Unseen,0.9865313346813932,0.9897068731398917
10,234,Present/Unseen/Left,Unseen,0.9822840098192903,0.9371095193857786
10,235,Present/Unseen/Right,Unseen,0.9834147791898281,0.876622562568549
10,237,Present/Unseen/Right,Unseen,0.9830357243874165,0.9537653480745811
10,238,Present/Seen/Left,Seen,0.9818913195447557,0.967791309075678
10,240,Present/Seen/Left,Seen,0.9554088485182342,0.788960306311694
10,241,Present/Unseen/Right,Unseen,0.9594559361758422,0.854706998504335
10,243,Present/Seen/Left,Seen,0.9677634286135107,0.7293499720570328
10,245,Present/Seen/Right,Seen,0.9724259891387697,0.7959732868122424
10,246,Present/Seen/Left,Seen,0.9836442764357669,0.9818172700767748
10,248,Present/Seen/Right,Seen,0.9773698859133096,0.8704862046305689
10,249,Present/Seen/Left,Seen,0.9619832731667761,0.5698046656695568
10,251,Present/Seen/Right,Seen,0.9742908061285019,0.8108758703759077
10,254,Present/Unseen/Left,Unseen,0.9763553855962899,0.8415576600658068
10,255,Present/Seen/Right,Seen,0.9605627935612605,0.8029862673127908
10,256,Present/Unseen/Right,Unseen,0.9790289951816823,0.8389277923781011
10,257,Present/Unseen/Left,Unseen,0.9794044888368916,0.895908258945057
10,258,Present/Seen/Right,Seen,0.9823608468137006,0.8634732241300207
10,260,Present/Seen/Left,Seen,0.9729901038945086,0.7924667965619682
10,261,Present/Seen/Left,Seen,0.9829022350154082,0.959901706012561
10,263,Present/Seen/Right,Seen,0.9784820911411347,0.8924017686947827
10,265,Present/Seen/Left,Seen,0.9777955476596034,0.8398044149406698
10,266,Present/Seen/Right,Seen,0.9857102646824739,0.8301615667524158
10,267,Present/Unseen/Right,Unseen,0.9648631258500908,0.761785006872069
10,269,Present/Seen/Left,Seen,0.9816554667215245,0.9037978620081738
10,271,Present/Seen/Right,Seen,0.9854363638162799,0.9125640876338594
10,272,Present/Unseen/Left,Unseen,0.9860417475021293,0.9572718383248555
10,274,Present/Seen/Right,Seen,0.9633344964547137,0.7118175208056617
10,275,Present/Unseen/Left,Unseen,0.9782233633981983,0.8634732241300207
10,276,Present/Seen/Right,Seen,0.9875820597083149,0.9774341572639322
10,277,Present/Seen/Right,Seen,0.9784338472976924,0.8704862046305691
10,279,Present/Seen/Left,Seen,0.9896877819124011,1.0291548884554766
10,281,Present/Seen/Left,Seen,0.9872800890182093,0.8994147491953312
10,283,Present/Seen/Right,Seen,0.9811247507512525,0.9108108425087224
10,284,Present/Seen/Left,Seen,0.9845751615106556,0.9809406475142062
10,285,Present/Unseen/Left,Unseen,0.9843487356792102,0.9599017060125611
10,286,Present/Unseen/Right,Unseen,0.9873820812299733,0.9458757450114642
10,288,Present/Unseen/Left,Unseen,0.9844975364645757,0.9756809121387948
10,289,Present/Unseen/Right,Unseen,0.9829778331437058,0.9099342199461539
10,290,Present/Unseen/Left,Unseen,0.9865191663848759,0.969544554200815
10,293,Present/Unseen/Right,Unseen,0.9837270850783609,0.9783107798265006
10,296,Present/Seen/Left,Seen,0.9804671840033511,0.8187654734390246
10,297,Present/Seen/Right,Seen,0.9801468216576127,0.8170122283138878
10,298,Present/Seen/Left,Seen,0.9875595007532479,0.921330313259545
10,299,Present/Unseen/Right,Unseen,0.9884367836624657,0.9607783285751296
10,300,Present/Unseen/Left,Unseen,0.9836032769645745,0.9712977993259522
10,303,Present/Unseen/Right,Unseen,0.9746571875337453,0.8415576600658069
10,304,Present/Seen/Right,Seen,0.9866927931770276,0.812629115501045
10,305,Present/Seen/Left,Seen,0.9693757740777208,0.8485706405663552
10,308,Present/Seen/Left,Seen,0.9793776588697989,0.7828239483737142
10,309,Present/Seen/Right,Seen,0.9803866226896666,0.8897719010070769
10,310,Present/Seen/Left,Seen,0.984369979127416,0.8117524929384763
10,311,Present/Seen/Right,Seen,0.9851205903263615,0.934479651698073
10,313,Present/Unseen/Right,Unseen,0.9792583782136268,0.814382360626182
